Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,19,BOS,NBA,C,10,35,22.8,.580,.000,.600,16.7,28.9,22.9,17.4,0.0,4.4,20.9,31.1,,0.1,0.0,0.1,.145,,-0.9,-0.3,-1.3,0.0
2004-05,20,BOS,NBA,C,60,548,11.2,.515,.000,.487,11.5,25.7,18.7,5.8,0.8,5.1,22.9,15.4,,-0.1,0.8,0.7,.065,,-4.7,1.5,-3.2,-0.2
2005-06,21,BOS,NBA,C,68,1332,13.2,.548,.008,.489,13.1,23.6,18.5,8.1,0.8,6.0,24.9,14.8,,0.3,2.0,2.3,.082,,-3.0,3.1,0.0,0.7
2006-07,22,BOS,NBA,C,72,1576,9.5,.518,.011,.372,8.4,20.1,14.1,9.4,0.8,4.7,26.5,12.2,,-0.6,1.9,1.4,.042,,-3.8,3.2,-0.6,0.5
2007-08,23,BOS,NBA,C,78,1912,13.3,.632,.003,.526,9.6,19.3,14.8,6.8,0.9,4.9,22.6,13.5,,1.9,4.3,6.2,.156,,-1.7,4.3,2.6,2.2
2008-09,24,BOS,NBA,C,76,2253,13.2,.591,.004,.335,11.5,21.4,16.7,6.5,0.5,5.3,23.1,14.8,,1.1,4.5,5.6,.119,,-1.9,4.1,2.2,2.4
2009-10,25,BOS,NBA,C,78,2154,15.0,.613,.006,.536,9.1,24.4,16.9,6.0,0.6,4.8,20.4,17.6,,1.4,3.8,5.2,.117,,-2.5,2.7,0.2,1.2
2010-11,26,TOT,NBA,C,29,742,9.6,.538,.000,.554,10.4,26.2,18.7,5.2,0.6,2.6,25.7,13.7,,-0.2,1.2,1.0,.063,,-4.3,1.8,-2.5,-0.1
2010-11,26,BOS,NBA,C,12,313,10.2,.568,.000,.678,9.6,27.5,19.1,4.8,0.3,2.5,24.6,15.6,,-0.1,0.6,0.6,.088,,-4.8,1.9,-2.8,-0.1
2010-11,26,OKC,NBA,C,17,429,9.1,.511,.000,.451,11.0,25.3,18.4,5.4,0.8,2.7,26.7,12.3,,-0.1,0.6,0.4,.046,,-3.9,1.6,-2.3,0.0
2011-12,27,OKC,NBA,C,65,1744,8.7,.528,.000,.427,8.4,18.8,13.9,6.4,0.7,3.0,27.5,11.1,,0.0,2.1,2.0,.056,,-2.7,2.1,-0.6,0.6
2012-13,28,OKC,NBA,C,78,1954,8.2,.479,.003,.230,7.0,19.5,13.7,7.9,1.1,3.2,24.0,10.6,,-0.5,3.0,2.5,.062,,-3.3,2.9,-0.4,0.8
2013-14,29,OKC,NBA,C,62,1207,6.3,.474,.005,.347,8.0,19.9,14.2,7.6,1.1,2.2,28.8,11.5,,-0.9,1.7,0.8,.031,,-4.7,2.1,-2.7,-0.2
2014-15,30,TOT,NBA,C,68,1148,7.0,.467,.004,.366,8.7,21.2,15.1,6.3,0.7,2.9,26.5,13.6,,-1.2,1.3,0.1,.006,,-5.5,1.3,-4.2,-0.6
2014-15,30,OKC,NBA,C,51,981,7.4,.461,.005,.403,8.9,21.4,15.2,6.1,0.7,3.1,25.3,12.9,,-0.8,1.2,0.3,.017,,-5.2,1.6,-3.6,-0.4
2014-15,30,CLE,NBA,C,17,167,4.7,.494,.000,.195,7.7,20.3,14.1,7.2,0.6,1.9,32.1,17.7,,-0.4,0.2,-0.2,-0.059,,-7.4,-0.1,-7.6,-0.2
2015-16,31,NOP,NBA,C,37,542,6.0,.529,.000,.333,4.9,21.8,13.1,7.9,1.0,1.7,32.3,10.4,,-0.4,0.4,-0.1,-0.007,,-5.6,1.3,-4.3,-0.3
Career,,,NBA,,781,17147,10.7,.552,.004,.420,9.3,21.4,15.6,7.1,0.8,4.1,24.4,13.5,,0.8,27.1,27.9,.078,,-3.2,2.8,-0.4,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,BOS,NBA,,454,10123,12.9,.584,.005,.462,10.3,22.2,16.4,7.1,0.7,5.0,23.0,14.9,,4.0,18.1,22.1,.105,,-2.7,3.3,0.6,6.8
5 seasons,,OKC,NBA,,273,6315,7.9,.490,.003,.349,8.1,20.0,14.4,7.0,0.9,2.9,26.3,11.4,,-2.4,8.5,6.1,.046,,-3.7,2.2,-1.5,0.8
1 season,,NOP,NBA,,37,542,6.0,.529,.000,.333,4.9,21.8,13.1,7.9,1.0,1.7,32.3,10.4,,-0.4,0.4,-0.1,-0.007,,-5.6,1.3,-4.3,-0.3
1 season,,CLE,NBA,,17,167,4.7,.494,.000,.195,7.7,20.3,14.1,7.2,0.6,1.9,32.1,17.7,,-0.4,0.2,-0.2,-0.059,,-7.4,-0.1,-7.6,-0.2
