Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,19,TOR,NBA,C,75,2510,15.1,.513,.020,.404,8.7,16.9,12.8,5.8,1.3,3.1,11.3,18.3,,2.5,3.8,6.2,.119,,-2.0,1.7,-0.3,1.1
2004-05,20,TOR,NBA,PF,81,3017,17.5,.547,.010,.539,7.1,20.0,13.5,8.6,1.3,2.7,13.1,21.7,,3.9,2.9,6.8,.108,,-0.8,1.2,0.4,1.8
2005-06 ★,21,TOR,NBA,C,70,2751,23.2,.585,.012,.534,8.7,20.6,14.4,11.8,1.0,2.3,10.5,25.2,,8.7,1.1,9.8,.170,,2.8,-0.3,2.5,3.1
2006-07 ★,22,TOR,NBA,C,69,2658,22.6,.577,.032,.539,8.1,24.8,16.4,11.7,0.8,2.6,11.7,26.7,,6.1,3.5,9.6,.174,,1.3,1.3,2.6,3.1
2007-08 ★,23,TOR,NBA,C,67,2425,23.8,.588,.024,.544,8.4,20.1,14.2,12.1,1.4,2.2,10.7,27.7,,7.0,3.1,10.1,.200,,2.7,1.0,3.7,3.5
2008-09 ★,24,TOR,NBA,C,77,2928,22.1,.569,.039,.489,8.7,22.1,15.5,11.6,1.2,2.0,10.2,26.9,,6.6,3.1,9.7,.159,,2.0,0.5,2.4,3.3
2009-10 ★,25,TOR,NBA,C,70,2526,25.0,.592,.019,.509,9.9,25.2,17.7,11.5,0.9,2.1,10.7,28.7,,7.9,1.7,9.6,.182,,3.0,-0.7,2.3,2.7
2010-11 ★,26,MIA,NBA,PF,77,2795,19.4,.569,.024,.446,6.4,20.0,13.6,8.9,1.1,1.4,9.8,23.5,,6.1,4.3,10.3,.177,,0.1,0.3,0.4,1.7
2011-12 ★,27,MIA,NBA,PF,57,2007,18.9,.551,.043,.346,5.8,20.5,13.5,9.1,1.3,1.8,11.2,24.2,,3.6,3.3,6.9,.165,,-0.3,0.3,0.0,1.0
2012-13 ★,28,MIA,NBA,C,74,2454,20.0,.592,.082,.333,7.0,17.6,12.6,8.4,1.4,3.4,11.0,22.7,,5.6,3.4,9.0,.175,,0.6,0.6,1.2,2.0
2013-14 ★,29,MIA,NBA,C,79,2531,19.0,.597,.229,.285,5.1,20.3,13.0,5.8,1.7,2.7,10.4,22.6,,4.6,3.4,8.0,.152,,0.5,0.0,0.5,1.6
2014-15 ★,30,MIA,NBA,C,44,1556,19.8,.548,.226,.311,3.6,20.0,12.0,12.0,1.4,1.4,10.1,28.4,,2.1,1.5,3.6,.111,,1.0,-1.0,-0.1,0.8
2015-16 ★,31,MIA,NBA,PF,53,1778,20.2,.571,.289,.349,3.2,21.1,12.4,12.1,1.0,1.5,8.1,24.7,,4.1,2.3,6.4,.172,,2.3,-0.3,2.1,1.8
Career,,,NBA,,893,31936,20.6,.571,.072,.444,7.2,20.7,14.1,9.9,1.2,2.3,10.7,24.6,,68.8,37.2,106.0,.159,,1.0,0.4,1.4,27.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,TOR,NBA,,509,18815,21.3,.571,.023,.513,8.5,21.4,14.9,10.5,1.1,2.4,11.1,25.0,,42.7,19.1,61.8,.158,,1.2,0.7,1.9,18.6
6 seasons,,MIA,NBA,,384,13121,19.5,.573,.142,.348,5.4,19.8,12.9,9.0,1.3,2.1,10.1,24.0,,26.1,18.1,44.2,.162,,0.6,0.1,0.7,8.9
