Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,21,POR,NBA,PG,10,38,11.9,.480,.167,.292,3.2,3.3,3.3,27.1,0.0,0.0,12.9,38.9,,0.0,0.0,0.0,-0.036,,-1.8,-6.7,-8.5,-0.1
2010-11,22,POR,NBA,PG,64,783,13.0,.506,.405,.143,2.8,5.2,4.0,24.3,1.9,0.1,15.1,24.5,,0.2,0.5,0.7,.044,,-0.1,-3.5,-3.6,-0.3
2011-12,23,SAS,NBA,PG,16,261,21.5,.604,.431,.115,1.8,10.3,6.2,25.9,2.0,0.3,16.0,28.4,,0.6,0.3,0.9,.161,,4.3,-1.9,2.5,0.3
2012-13,24,SAS,NBA,PG,58,656,14.1,.590,.539,.079,1.7,6.8,4.4,14.9,2.0,0.4,13.5,20.2,,0.7,0.8,1.5,.109,,1.2,-1.6,-0.4,0.3
2013-14,25,SAS,NBA,PG,81,1527,18.7,.588,.477,.123,2.6,9.6,6.2,15.3,2.3,0.4,8.2,22.6,,3.4,2.1,5.6,.175,,3.9,-0.6,3.3,2.0
2014-15,26,SAS,NBA,PG,51,801,13.0,.496,.542,.119,3.0,7.5,5.3,16.9,1.8,0.2,9.0,22.1,,0.6,0.9,1.4,.087,,1.0,-1.8,-0.7,0.3
2015-16,27,SAS,NBA,PG,81,1662,14.6,.541,.523,.095,1.9,8.7,5.4,20.1,1.8,0.3,10.7,19.7,,2.2,2.6,4.8,.139,,2.1,-0.4,1.7,1.6
Career,,,NBA,,361,5728,15.5,.551,.489,.115,2.4,8.1,5.3,18.6,2.0,0.3,11.1,22.0,,7.7,7.1,14.9,.125,,2.1,-1.3,0.8,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,SAS,NBA,,287,4907,15.9,.559,.507,.108,2.3,8.6,5.6,17.7,2.0,0.3,10.3,21.5,,7.5,6.6,14.2,.139,,2.5,-0.9,1.6,4.4
2 seasons,,POR,NBA,,74,821,12.9,.504,.389,.153,2.9,5.1,3.9,24.4,1.8,0.1,14.9,25.2,,0.2,0.5,0.7,.040,,-0.2,-3.6,-3.8,-0.4
