Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,23,CHI,NBA,PG,76,2706,13.1,.510,.448,.204,1.7,9.0,5.2,32.5,1.9,0.6,18.5,18.2,,2.1,1.9,4.1,.072,,0.8,-1.3,-0.5,1.0
2004-05,24,CHI,NBA,PG,77,2800,15.3,.495,.364,.193,1.3,10.8,6.1,31.5,2.3,0.6,12.6,22.3,,2.5,4.7,7.2,.124,,1.9,1.3,3.3,3.7
2005-06,25,CHI,NBA,PG,81,2955,15.5,.528,.316,.291,1.1,10.0,5.6,28.9,1.6,0.6,13.4,21.4,,4.1,3.5,7.6,.124,,1.8,0.2,1.9,2.9
2006-07,26,CHI,NBA,PG,80,2839,17.0,.559,.318,.268,1.3,9.7,5.5,29.2,1.8,0.6,13.9,21.6,,5.5,4.6,10.1,.171,,2.7,0.2,2.9,3.5
2007-08,27,CHI,NBA,PG,75,2380,13.1,.501,.301,.178,1.3,10.6,5.8,30.9,1.9,0.6,15.4,18.9,,1.5,2.1,3.6,.072,,0.1,-0.9,-0.8,0.7
2008-09,28,CHI,NBA,SG,51,1339,13.9,.551,.403,.205,1.4,9.1,5.3,22.7,2.5,1.0,16.0,18.1,,1.3,1.3,2.6,.092,,0.8,-0.5,0.4,0.8
2009-10,29,CHI,NBA,SG,74,2481,11.6,.501,.372,.150,1.1,10.4,5.8,20.5,1.8,0.7,12.3,16.6,,1.2,2.8,4.0,.077,,-0.3,0.3,0.0,1.2
2010-11,30,TOT,NBA,SG-PG,72,2157,12.3,.543,.302,.202,1.1,8.9,4.9,21.1,1.8,0.6,15.1,16.7,,1.8,1.2,3.0,.068,,-0.2,-1.3,-1.5,0.3
2010-11,30,WAS,NBA,SG,48,1471,13.5,.548,.256,.240,1.0,9.3,5.0,22.7,1.9,0.5,14.8,17.1,,1.7,0.6,2.3,.076,,0.2,-1.4,-1.2,0.3
2010-11,30,ATL,NBA,PG,24,686,9.8,.530,.411,.114,1.2,8.0,4.7,17.9,1.5,0.8,16.0,16.0,,0.2,0.5,0.7,.050,,-1.2,-0.9,-2.0,0.0
2011-12,31,ATL,NBA,SG,48,1237,9.2,.511,.461,.108,1.1,8.5,4.8,16.3,1.6,0.7,15.8,13.9,,0.4,1.4,1.8,.069,,-1.4,-0.1,-1.4,0.2
2012-13,32,CHI,NBA,PG,60,1764,10.8,.493,.431,.232,1.0,9.3,5.1,27.5,1.9,1.1,17.5,14.7,,1.0,2.1,3.1,.085,,-1.1,-0.2,-1.2,0.3
2013-14,33,CHI,NBA,PG,73,2116,10.8,.494,.391,.202,1.7,8.5,5.2,22.6,2.0,1.0,15.1,17.3,,0.4,3.3,3.8,.085,,-1.3,0.5,-0.8,0.6
2014-15,34,CHI,NBA,SG,66,1610,6.8,.468,.441,.131,1.4,6.6,4.1,13.8,1.5,0.6,15.3,13.3,,-0.3,1.3,1.0,.030,,-2.3,-0.6,-2.8,-0.3
2015-16,35,TOT,NBA,PG,46,631,7.2,.504,.481,.124,1.4,10.2,5.9,16.0,1.2,0.2,18.1,11.6,,0.1,0.5,0.6,.044,,-2.7,-1.0,-3.7,-0.3
2015-16,35,CHI,NBA,PG,35,555,7.3,.528,.475,.136,1.4,9.5,5.5,15.0,1.2,0.1,17.8,12.0,,0.2,0.4,0.6,.048,,-2.2,-1.3,-3.5,-0.2
2015-16,35,ATL,NBA,PG,11,76,6.2,.227,.545,.000,1.5,15.4,8.6,23.8,1.3,1.0,21.4,8.2,,-0.1,0.1,0.0,.019,,-6.6,0.9,-5.7,-0.1
Career,,,NBA,,879,27015,12.8,.516,.366,.208,1.3,9.5,5.4,25.7,1.9,0.7,14.8,18.2,,21.8,30.6,52.5,.093,,0.3,-0.2,0.2,14.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 seasons,,CHI,NBA,,748,23545,13.1,.514,.368,.212,1.3,9.6,5.4,26.6,1.9,0.7,14.7,18.6,,19.7,28.0,47.6,.097,,0.5,-0.1,0.4,14.4
3 seasons,,ATL,NBA,,83,1999,9.3,.512,.444,.108,1.1,8.6,4.9,17.2,1.6,0.7,16.0,14.4,,0.5,2.0,2.5,.061,,-1.5,-0.3,-1.8,0.1
1 season,,WAS,NBA,,48,1471,13.5,.548,.256,.240,1.0,9.3,5.0,22.7,1.9,0.5,14.8,17.1,,1.7,0.6,2.3,.076,,0.2,-1.4,-1.2,0.3
